City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
58,Riachao Das Neves,27,BR,2021-07-08 17:34:17,20,-11.7461,-44.91,90.5,3.04
59,General Pico,72,AR,2021-07-08 17:34:17,64,-35.6566,-63.7568,67.06,13.42
60,Georgetown,40,MY,2021-07-08 17:34:17,86,5.4112,100.3354,82.89,2.3
61,East London,0,ZA,2021-07-08 17:34:18,23,-33.0153,27.9116,74.34,4.61
62,Anadyr,20,RU,2021-07-08 17:34:18,93,64.75,177.4833,52.3,4.0
63,Nurota,3,UZ,2021-07-08 17:34:18,24,40.5614,65.6886,95.09,8.16
64,Albany,100,US,2021-07-08 17:30:02,94,42.6001,-73.9662,74.32,1.99
65,Saskylakh,95,RU,2021-07-08 17:34:18,54,71.9167,114.0833,45.84,8.66
66,Bilibino,79,RU,2021-07-08 17:34:19,87,68.0546,166.4372,53.26,2.37
67,Monteagudo,0,BO,2021-07-08 17:34:19,36,-19.8167,-63.9833,76.78,5.5
68,Parrita,73,CR,2021-07-08 17:34:19,70,9.5201,-84.3225,92.97,6.31
69,Malatya,40,TR,2021-07-08 17:34:20,41,38.5,38.0,75.25,4.61
70,Torbay,90,CA,2021-07-08 17:34:20,82,47.6666,-52.7314,58.75,18.41
71,Bambous Virieux,75,MU,2021-07-08 17:34:20,83,-20.3428,57.7575,74.21,16.11
72,Zhireken,67,RU,2021-07-08 17:34:21,70,52.8249,117.3076,64.36,0.58
73,Richards Bay,0,ZA,2021-07-08 17:34:21,67,-28.783,32.0377,67.77,17.52
74,Yellowknife,20,CA,2021-07-08 17:34:21,50,62.456,-114.3525,79.32,1.01
75,Nome,90,US,2021-07-08 17:34:21,81,64.5011,-165.4064,49.15,0.0
76,Aykhal,100,RU,2021-07-08 17:34:22,97,66.0,111.5,51.53,5.46
77,Swan Hill,98,AU,2021-07-08 17:34:22,85,-35.3378,143.5544,40.06,5.57
78,Tuktoyaktuk,20,CA,2021-07-08 17:34:22,72,69.4541,-133.0374,60.8,8.05
79,Lavrentiya,100,RU,2021-07-08 17:34:23,96,65.5833,-171.0,43.95,8.55
80,Hami,93,CN,2021-07-08 17:34:23,27,42.8,93.45,88.59,2.62
81,Batemans Bay,97,AU,2021-07-08 17:34:23,71,-35.7167,150.1833,44.91,4.07
82,Saint George,1,US,2021-07-08 17:34:24,15,37.1041,-113.5841,106.79,1.01
83,Dikson,100,RU,2021-07-08 17:34:24,86,73.5069,80.5464,36.37,6.13
84,Barrow,90,US,2021-07-08 17:32:12,87,71.2906,-156.7887,46.42,8.05
85,Puerto Ayora,98,EC,2021-07-08 17:34:24,88,-0.7393,-90.3518,78.76,8.99
86,Bengkulu,53,ID,2021-07-08 17:34:25,90,-3.8004,102.2655,75.18,4.29
87,Mataura,100,NZ,2021-07-08 17:34:25,96,-46.1927,168.8643,37.06,8.08
88,Portland,90,US,2021-07-08 17:29:42,70,45.5234,-122.6762,67.44,1.01
89,Bethel,90,US,2021-07-08 17:34:25,90,41.3712,-73.414,83.05,3.0
90,Praya,75,CV,2021-07-08 17:34:26,58,14.9215,-23.5087,84.74,16.11
91,Sungairaya,99,ID,2021-07-08 17:34:26,84,0.7,108.9,78.96,0.22
92,Ichchapuram,97,IN,2021-07-08 17:34:26,78,19.1167,84.7,81.66,1.97
93,Salalah,90,OM,2021-07-08 17:34:27,89,17.0151,54.0924,80.69,5.75
94,Jalu,0,LY,2021-07-08 17:34:27,21,29.0331,21.5482,94.21,9.31
95,Ostrovnoy,79,RU,2021-07-08 17:34:27,87,68.0531,39.5131,65.14,17.9
96,Egvekinot,100,RU,2021-07-08 17:34:28,96,66.3167,-179.1667,41.88,2.04
97,Birao,92,CF,2021-07-08 17:34:28,77,10.2849,22.7882,73.69,4.59
98,Xichang,99,CN,2021-07-08 17:34:28,89,27.8964,102.2634,67.75,1.23
99,Bad Freienwalde,98,DE,2021-07-08 17:34:28,90,52.7873,14.0304,70.5,1.01
100,Ribeira Grande,20,PT,2021-07-08 17:34:29,73,38.5167,-28.7,77.4,14.97
101,Yakeshi,96,CN,2021-07-08 17:34:29,95,49.2833,120.7333,61.3,5.44
102,Vila,2,PT,2021-07-08 17:34:29,58,42.0304,-8.1588,71.74,3.98
103,Shache,0,CN,2021-07-08 17:34:29,15,38.4167,77.2406,85.6,5.3
104,Marystown,38,CA,2021-07-08 17:31:25,66,47.1666,-55.1483,59.54,16.58
105,Olinda,40,BR,2021-07-08 17:34:30,61,-8.0089,-34.8553,80.33,13.8
106,Miyazu,90,JP,2021-07-08 17:34:30,98,35.5333,135.1833,72.07,0.92
107,Pershotravneve,14,UA,2021-07-08 17:34:31,66,51.3929,28.8684,73.49,4.88
108,Anshun,100,CN,2021-07-08 17:34:31,99,26.25,105.9333,64.94,5.1
109,Coihaique,90,CL,2021-07-08 17:34:31,93,-45.5752,-72.0662,38.01,3.44
110,Methoni,27,GR,2021-07-08 17:34:31,74,36.8197,21.7049,84.22,10.22
111,Sinnai,0,IT,2021-07-08 17:34:32,45,39.3042,9.2036,90.5,16.11
112,Asau,42,RO,2021-07-08 17:34:32,71,46.4333,26.4,78.4,2.77
113,Maragogi,30,BR,2021-07-08 17:34:32,73,-9.0122,-35.2225,78.49,9.19
114,Provideniya,100,RU,2021-07-08 17:34:32,97,64.3833,-173.3,43.7,12.35
115,Kodiak,90,US,2021-07-08 17:34:33,76,57.79,-152.4072,51.31,0.0
116,Parabel,82,RU,2021-07-08 17:34:33,95,58.6978,81.4825,57.94,6.17
117,Mogadishu,56,SO,2021-07-08 17:30:42,81,2.0371,45.3438,76.98,18.05
118,Gasa,0,PS,2021-07-08 17:34:34,65,31.5,34.4667,83.91,8.01
119,Ahipara,45,NZ,2021-07-08 17:34:34,81,-35.1667,173.1667,54.81,14.83
120,Longyearbyen,75,SJ,2021-07-08 17:34:34,76,78.2186,15.6401,44.44,21.85
121,Saint-Pierre,20,RE,2021-07-08 17:34:34,83,-21.3393,55.4781,71.28,19.57
122,Albury,40,AU,2021-07-08 17:34:35,92,-36.0833,146.9167,43.02,0.0
123,Teguldet,90,RU,2021-07-08 17:34:35,77,57.3064,88.1667,55.04,4.54
124,Lazaro Cardenas,40,MX,2021-07-08 17:34:35,67,17.9583,-102.2,85.1,3.78
125,Qaanaaq,100,GL,2021-07-08 17:34:36,86,77.484,-69.3632,36.3,7.54
126,Hambantota,87,LK,2021-07-08 17:34:36,82,6.1241,81.1185,80.67,16.89
127,Avarua,20,CK,2021-07-08 17:34:36,83,-21.2078,-159.775,71.65,5.75
128,Yar-Sale,13,RU,2021-07-08 17:34:37,51,66.8333,70.8333,56.88,9.17
129,Serenje,0,ZM,2021-07-08 17:34:37,58,-13.2325,30.2352,52.84,4.72
130,Alice Springs,0,AU,2021-07-08 17:31:15,42,-23.7,133.8833,44.15,5.75
131,Aden,96,YE,2021-07-08 17:32:04,62,12.7794,45.0367,88.0,2.64
132,Ilulissat,1,GL,2021-07-08 17:34:37,61,69.2167,-51.1,46.42,9.22
133,Maiduguri,100,NG,2021-07-08 17:34:38,75,11.8464,13.1603,76.82,18.21
134,Yatou,42,CN,2021-07-08 17:34:38,96,37.15,122.3833,70.83,3.67
135,Mount Gambier,87,AU,2021-07-08 17:34:38,93,-37.8333,140.7667,37.31,8.05
136,Birsk,5,RU,2021-07-08 17:34:39,74,55.4211,55.5428,66.78,7.96
137,Lubango,61,AO,2021-07-08 17:34:39,26,-14.9172,13.4925,59.16,4.97
138,Fort William,100,GB,2021-07-08 17:34:39,87,56.8165,-5.1121,60.31,2.53
139,Ust-Shonosha,86,RU,2021-07-08 17:34:39,66,61.1531,41.343,74.21,3.51
140,Kirishi,47,RU,2021-07-08 17:34:40,77,59.4471,32.0205,80.76,4.23
141,Meulaboh,100,ID,2021-07-08 17:34:40,86,4.1363,96.1285,77.59,5.95
142,Kharp,33,RU,2021-07-08 17:34:40,60,66.8014,65.8081,63.9,1.19
143,Horta,20,PT,2021-07-08 17:34:40,73,38.5333,-28.6333,76.64,14.97
144,Cabo San Lucas,1,MX,2021-07-08 17:30:19,60,22.8909,-109.9124,91.51,8.01
145,Nicholasville,75,US,2021-07-08 17:34:18,67,37.8806,-84.573,86.56,10.36
146,Urucui,4,BR,2021-07-08 17:34:41,21,-7.2294,-44.5561,96.84,6.26
147,Kaitangata,89,NZ,2021-07-08 17:34:41,76,-46.2817,169.8464,38.93,11.52
148,Nipawin,1,CA,2021-07-08 17:31:35,50,53.3668,-104.0009,77.04,11.5
149,Arrecife,20,ES,2021-07-08 17:34:42,57,28.963,-13.5477,78.87,27.63
150,Pathein,100,MM,2021-07-08 17:34:42,86,16.7833,94.7333,78.8,5.95
151,Airai,63,TL,2021-07-08 17:34:42,87,-8.9266,125.4092,56.71,2.93
152,Acheng,94,CN,2021-07-08 17:34:42,94,45.5454,126.977,67.93,5.1
153,Kishangarh,61,IN,2021-07-08 17:34:43,37,26.5667,74.8667,92.05,14.9
154,Ouro Preto Do Oeste,0,BR,2021-07-08 17:34:43,27,-10.7481,-62.2158,94.89,3.31
155,Ayacucho,0,PE,2021-07-08 17:34:43,22,-13.1583,-74.2239,64.26,3.44
156,Victoria,5,HK,2021-07-08 17:34:16,85,22.2855,114.1577,86.32,1.01
157,Ndele,85,CF,2021-07-08 17:34:44,97,8.4109,20.6473,68.88,3.36
158,Constitucion,100,CL,2021-07-08 17:34:44,71,-35.3333,-72.4167,56.41,4.36
159,Faanui,10,PF,2021-07-08 17:34:44,66,-16.4833,-151.75,79.75,15.46
160,Port Elizabeth,0,ZA,2021-07-08 17:34:45,77,-33.918,25.5701,62.89,17.27
161,Andros Town,72,BS,2021-07-08 17:34:45,67,24.7,-77.7667,87.76,16.69
162,Grimma,100,DE,2021-07-08 17:34:46,96,51.2333,12.7167,68.95,5.03
163,Yaring,95,TH,2021-07-08 17:34:46,85,6.8662,101.3689,78.15,4.97
164,Artesia,1,US,2021-07-08 17:30:38,67,33.8658,-118.0831,98.28,4.0
165,Xifeng,99,CN,2021-07-08 17:34:47,94,42.7372,124.7222,66.29,4.74
166,Caravelas,22,BR,2021-07-08 17:34:47,59,-17.7125,-39.2481,74.57,6.93
167,Yunyang,43,CN,2021-07-08 17:34:47,89,33.4474,112.7142,74.01,4.32
168,Sitka,90,US,2021-07-08 17:33:43,76,57.0531,-135.33,55.29,8.05
169,Petauke,1,ZM,2021-07-08 17:34:48,45,-14.2426,31.3253,61.45,7.14
170,Garowe,81,SO,2021-07-08 17:32:05,37,8.4054,48.4845,84.0,21.07
171,Jos,72,NG,2021-07-08 17:34:48,89,9.9167,8.9,67.24,6.76
172,Pembroke,100,CA,2021-07-08 17:34:49,98,45.8168,-77.1162,60.78,5.14
173,Sao Joao Da Barra,0,BR,2021-07-08 17:34:49,64,-21.6403,-41.0511,77.09,9.37
174,High Rock,66,BS,2021-07-08 17:34:49,73,26.6208,-78.2833,86.02,15.08
175,Nusaybin,0,TR,2021-07-08 17:34:49,11,37.0778,41.2178,98.19,9.22
176,Pevek,100,RU,2021-07-08 17:34:50,98,69.7008,170.3133,34.56,14.45
177,Nanakuli,1,US,2021-07-08 17:34:50,78,21.3906,-158.1547,80.04,5.75
178,Sharjah,0,AE,2021-07-08 17:34:50,34,25.3573,55.4033,100.74,3.44
179,Dustlik,32,UZ,2021-07-08 17:34:51,24,40.5247,68.0358,93.24,11.32
180,Lata,4,PT,2021-07-08 17:34:51,47,40.1629,-8.3327,84.04,9.06
181,San Patricio,100,US,2021-07-08 17:34:51,90,28.017,-97.5169,86.41,8.16
182,Saint-Louis,36,SN,2021-07-08 17:34:51,25,16.3333,-15.0,103.64,14.2
183,Sidi Ali,1,DZ,2021-07-08 17:34:52,70,36.0998,0.4206,77.02,15.93
184,Riyadh,1,SA,2021-07-08 17:34:52,8,24.6877,46.7219,104.14,10.07
185,Antiguo Morelos,98,MX,2021-07-08 17:34:52,82,22.5495,-99.0812,79.12,2.46
186,Nizhniy Kuranakh,52,RU,2021-07-08 17:34:52,71,58.8353,125.4869,68.14,5.61
187,Hudiksvall,59,SE,2021-07-08 17:34:53,45,61.729,17.1036,78.53,8.32
188,Tuatapere,96,NZ,2021-07-08 17:34:53,87,-46.1333,167.6833,38.46,10.11
189,Pangnirtung,40,CA,2021-07-08 17:34:53,71,66.1451,-65.7125,48.2,12.66
190,Yulara,0,AU,2021-07-08 17:34:54,53,-25.2406,130.9889,44.44,9.22
191,Qorveh,0,IR,2021-07-08 17:34:54,16,35.1664,47.8045,74.3,5.68
192,Korla,100,CN,2021-07-08 17:34:54,30,41.7597,86.1469,83.77,17.02
193,Perove,99,UA,2021-07-08 17:34:55,78,44.9333,34.0667,76.93,9.24
194,North Bend,40,US,2021-07-08 17:30:00,70,43.4065,-124.2243,62.51,14.97
195,Cayenne,75,GF,2021-07-08 17:30:05,72,4.9333,-52.3333,86.09,4.0
196,New Norfolk,70,AU,2021-07-08 17:34:55,84,-42.7826,147.0587,36.9,2.44
197,Mar Del Plata,90,AR,2021-07-08 17:34:56,30,-38.0023,-57.5575,62.1,5.99
198,Baiersbronn,100,DE,2021-07-08 17:33:49,99,48.5,8.3833,62.42,3.36
199,Kalabo,0,ZM,2021-07-08 17:34:13,27,-14.97,22.6814,61.61,3.58
200,Severo-Yeniseyskiy,89,RU,2021-07-08 17:34:56,83,60.3725,93.0408,48.58,3.83
201,Kyra,54,RU,2021-07-08 17:34:56,87,49.5776,111.9753,58.39,2.77
202,Hasaki,100,JP,2021-07-08 17:34:57,95,35.7333,140.8333,72.28,5.68
203,Araxa,0,BR,2021-07-08 17:34:57,23,-19.5933,-46.9406,76.23,2.68
204,Mweka,28,CD,2021-07-08 17:34:57,27,-4.85,21.5667,74.17,1.5
205,Kloulklubed,99,PW,2021-07-08 17:34:58,77,7.0419,134.2556,79.3,8.81
206,Kamakwie,69,SL,2021-07-08 17:34:58,89,9.5,-12.2333,80.31,5.01
207,La Ronge,20,CA,2021-07-08 17:34:58,53,55.1001,-105.2842,75.42,5.75
208,Rocha,2,UY,2021-07-08 17:34:59,62,-34.4833,-54.3333,69.15,7.9
209,Port Blair,100,IN,2021-07-08 17:34:59,89,11.6667,92.75,78.69,11.95
210,Castro,0,BR,2021-07-08 17:34:59,50,-24.7911,-50.0119,64.44,4.94
211,Norman Wells,40,CA,2021-07-08 17:34:59,72,65.282,-126.8329,64.44,4.61
212,La Trinidad,8,PH,2021-07-08 17:35:00,89,16.455,120.5875,62.02,4.54
