City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Description,Date
63,Klaksvik,62.2266,-6.589,54.52,99,100,10.04,overcast clouds,2021-07-11 18:25:55
64,Khagaria,25.5,86.4833,81.09,88,95,8.41,overcast clouds,2021-07-11 18:26:30
65,La Ronge,55.1001,-105.2842,80.85,36,1,6.91,smoke,2021-07-11 18:20:44
66,Bathsheba,13.2167,-59.5167,84.81,79,75,29.93,broken clouds,2021-07-11 18:26:20
67,Hohhot,40.8106,111.6522,73.69,68,20,8.95,light rain,2021-07-11 18:19:32
68,Lethem,3.3803,-59.7968,85.91,66,78,4.81,broken clouds,2021-07-11 18:26:31
69,Ahipara,-35.1667,173.1667,55.67,93,100,18.1,light rain,2021-07-11 18:24:55
70,Saint George,37.1041,-113.5841,110.53,11,1,1.99,clear sky,2021-07-11 18:15:39
71,East London,-33.0153,27.9116,59.94,88,0,4.61,clear sky,2021-07-11 18:24:56
72,Broken Hill,-31.95,141.4333,49.87,46,78,11.86,broken clouds,2021-07-11 18:24:19
73,Hithadhoo,-0.6,73.0833,82.2,68,57,3.13,light rain,2021-07-11 18:24:58
74,Bambanglipuro,-7.95,110.2833,56.61,88,68,4.52,broken clouds,2021-07-11 18:24:48
75,Zhigansk,66.7697,123.3711,42.46,92,96,13.15,light rain,2021-07-11 18:26:32
76,Thompson,55.7435,-97.8558,84.36,48,20,8.05,smoke,2021-07-11 18:24:21
77,Mar Del Plata,-38.0023,-57.5575,60.87,47,0,8.01,clear sky,2021-07-11 18:21:59
78,Praia Da Vitoria,38.7333,-27.0667,72.75,64,75,14.23,broken clouds,2021-07-11 18:26:32
79,Ahome,25.9167,-109.1833,92.14,69,78,1.01,broken clouds,2021-07-11 18:26:33
80,Port Blair,11.6667,92.75,77.04,94,90,1.14,drizzle,2021-07-11 18:26:33
81,Hilo,19.7297,-155.09,77.79,84,75,4.61,light rain,2021-07-11 18:24:46
82,Karjat,18.9167,73.3333,80.08,94,100,1.1,heavy intensity rain,2021-07-11 18:26:33
83,Vardo,70.3705,31.1107,52.0,81,0,9.22,clear sky,2021-07-11 18:25:32
84,Sorland,67.667,12.6934,62.67,94,100,15.59,overcast clouds,2021-07-11 18:19:58
85,Anadyr,64.75,177.4833,54.1,87,0,2.24,clear sky,2021-07-11 18:26:34
86,College,64.8569,-147.8028,64.06,52,75,0.0,broken clouds,2021-07-11 18:26:06
87,Strezhevoy,60.7333,77.5889,42.78,64,100,5.26,overcast clouds,2021-07-11 18:26:34
88,Fakel,57.6325,53.0252,54.73,68,7,6.31,clear sky,2021-07-11 18:26:35
89,Ulundi,-28.3352,31.4162,59.27,52,0,2.95,clear sky,2021-07-11 18:26:35
90,Saint-Joseph,-21.3667,55.6167,68.36,78,29,13.35,scattered clouds,2021-07-11 18:25:54
91,Yumen,40.2833,97.2,79.57,26,1,6.42,clear sky,2021-07-11 18:26:35
92,Victoria,22.2855,114.1577,86.38,85,96,8.99,overcast clouds,2021-07-11 18:20:11
93,Talnakh,69.4865,88.3972,50.47,52,94,10.47,overcast clouds,2021-07-11 18:25:19
94,Topolobampo,25.6,-109.05,92.1,48,75,0.0,broken clouds,2021-07-11 18:26:36
95,Provideniya,64.3833,-173.3,50.2,81,72,6.13,broken clouds,2021-07-11 18:19:31
96,Alta Floresta,-9.8756,-56.0861,94.82,24,0,6.91,clear sky,2021-07-11 18:25:20
97,Upernavik,72.7868,-56.1549,39.52,69,22,12.75,few clouds,2021-07-11 18:25:25
98,Alice Springs,-23.7,133.8833,49.55,50,71,5.75,broken clouds,2021-07-11 18:25:16
99,Deder,9.3167,41.45,62.02,69,59,7.94,broken clouds,2021-07-11 18:26:37
100,Alofi,-19.0595,-169.9187,75.09,100,17,5.75,few clouds,2021-07-11 18:26:37
101,Bengkulu,-3.8004,102.2655,76.46,88,100,4.52,light rain,2021-07-11 18:24:47
102,Necochea,-38.5473,-58.7368,59.25,34,0,12.46,clear sky,2021-07-11 18:20:28
103,Sao Borja,-28.6606,-56.0044,78.13,52,51,7.61,broken clouds,2021-07-11 18:26:38
104,Mount Gambier,-37.8333,140.7667,50.25,61,63,12.17,broken clouds,2021-07-11 18:24:23
105,Manokwari,-0.8667,134.0833,79.25,76,78,5.03,broken clouds,2021-07-11 18:26:38
106,Beloha,-25.1667,45.05,64.87,80,0,5.73,clear sky,2021-07-11 18:26:39
107,Muli,2.9167,73.5667,82.02,77,100,9.75,overcast clouds,2021-07-11 18:21:06
108,Pathein,16.7833,94.7333,78.04,89,97,7.31,overcast clouds,2021-07-11 18:26:39
109,Boldumsaz,42.1282,59.671,82.35,20,0,7.25,clear sky,2021-07-11 18:26:40
110,Xuanhua,40.6103,115.0447,71.42,90,99,7.87,moderate rain,2021-07-11 18:26:40
111,Zhangye,38.9342,100.4517,76.14,37,15,6.49,few clouds,2021-07-11 18:26:40
112,Jumla,29.2747,82.1838,63.25,93,100,2.15,overcast clouds,2021-07-11 18:25:57
113,Khatanga,71.9667,102.5,44.13,54,83,5.06,broken clouds,2021-07-11 18:25:54
114,Guadalajara,20.6667,-103.3333,75.78,64,75,3.44,broken clouds,2021-07-11 18:26:41
115,Lasa,46.6166,10.7002,75.11,71,60,0.78,broken clouds,2021-07-11 18:26:41
116,Chuy,-33.6971,-53.4616,57.78,43,0,3.6,clear sky,2021-07-11 18:19:44
117,Shanghai,31.2222,121.4581,84.06,89,0,8.95,clear sky,2021-07-11 18:26:00
118,Kodiak,57.79,-152.4072,51.31,82,90,13.8,moderate rain,2021-07-11 18:25:01
119,Hermanus,-34.4187,19.2345,52.9,65,5,7.25,clear sky,2021-07-11 18:24:54
120,Souillac,-20.5167,57.5167,71.37,78,75,16.11,broken clouds,2021-07-11 18:19:43
121,Nouadhibou,20.931,-17.0347,67.21,94,68,17.72,broken clouds,2021-07-11 18:25:32
122,Ancud,-41.8697,-73.8203,46.22,87,100,7.58,overcast clouds,2021-07-11 18:26:42
123,Puerto Ayora,-0.7393,-90.3518,80.56,81,48,10.0,scattered clouds,2021-07-11 18:24:35
124,Ponta Do Sol,32.6667,-17.1,81.23,69,3,4.9,clear sky,2021-07-11 18:26:42
125,Manoel Urbano,-8.8389,-69.2597,94.26,30,99,4.34,overcast clouds,2021-07-11 18:26:43
126,Pisco,-13.7,-76.2167,66.02,82,90,10.36,overcast clouds,2021-07-11 18:26:28
127,Krasnoselkup,65.7,82.4667,47.48,59,66,6.8,broken clouds,2021-07-11 18:26:43
128,Jiblah,13.9216,44.1467,69.26,58,100,5.17,overcast clouds,2021-07-11 18:26:44
129,La Asuncion,11.0333,-63.8628,83.05,71,96,12.57,overcast clouds,2021-07-11 18:21:03
130,Swan River,52.1058,-101.2676,89.49,31,0,14.97,clear sky,2021-07-11 18:26:44
131,Port Elizabeth,-33.918,25.5701,54.1,87,0,2.3,clear sky,2021-07-11 18:24:20
132,Lorengau,-2.0226,147.2712,81.81,79,77,8.25,broken clouds,2021-07-11 18:25:30
133,Grand Gaube,-20.0064,57.6608,71.38,74,78,5.99,light rain,2021-07-11 18:24:59
134,Oktyabrskoye,43.0645,44.7417,69.35,73,50,6.71,scattered clouds,2021-07-11 18:26:45
135,Coihaique,-45.5752,-72.0662,42.75,56,75,6.91,broken clouds,2021-07-11 18:19:34
136,Straumen,63.8709,11.2999,63.63,92,100,5.53,overcast clouds,2021-07-11 18:26:45
137,Saint-Georges,12.0564,-61.7485,78.82,84,97,15.75,overcast clouds,2021-07-11 18:23:37
