City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
568,Seoul,KR,75.61,broken clouds,37.5683,126.9778,롯데호텔 서울
569,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
571,Bintulu,MY,79.21,light rain,3.1667,113.0333,900 Boutique INN
572,Halifax,CA,81.41,overcast clouds,44.6453,-63.5724,Hotel Halifax
573,Praia Da Vitoria,PT,72.75,broken clouds,38.7333,-27.0667,Hotel Branco I
576,Porbandar,IN,84.33,light rain,21.6422,69.6093,Lords Inn Porbandar
577,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
578,Kemi,FI,71.37,clear sky,65.8596,24.8228,
579,Carutapera,BR,81.28,overcast clouds,-1.195,-46.02,Lidera
582,Tamandare,BR,78.82,few clouds,-8.7597,-35.1047,Pousada 100 Passos
583,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
584,Ankang,CN,73.26,overcast clouds,32.68,109.0172,安琪酒店
586,Thayetmyo,MM,77.76,broken clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
587,Izazi,TZ,72.3,broken clouds,-7.2,35.7333,
588,Hobyo,SO,77.94,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
589,Port Hawkesbury,CA,75.0,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
593,Jiazi,CN,82.06,overcast clouds,22.8779,116.067,Hotel Jin Hao
594,Manaus,BR,79.3,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
596,Palmer,US,79.02,overcast clouds,42.1584,-72.3287,Wedgewood Motel
597,Cap Malheureux,MU,72.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
598,Nouadhibou,MR,71.58,scattered clouds,20.931,-17.0347,El Medina
599,Isangel,VU,73.35,overcast clouds,-19.55,169.2667,Tanna Lodge
600,Namatanai,PG,78.89,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
604,Sobolevo,RU,73.33,broken clouds,54.4299,31.8996,
605,Shagamu,NG,82.18,broken clouds,6.8432,3.6478,Remo Majestic Hotel
607,Telimele,GN,72.79,moderate rain,10.9167,-13.3333,
611,Mujiayingzi,CN,72.72,scattered clouds,42.1167,118.7833,Jinjiang Hotel
612,Grand Gaube,MU,72.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
615,Tanete,ID,74.44,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
616,Aksu,CN,80.64,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
617,Gilgit,PK,84.76,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
618,Lipari,IT,81.16,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
621,Pathein,MM,77.32,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
624,Balikpapan,ID,74.71,overcast clouds,-1.2675,116.8289,ibis Balikpapan
633,Tambura,SS,70.5,overcast clouds,5.6,27.4667,Rikito Lodge
634,Douglas,US,80.24,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
637,Praya,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
641,Matadi,CD,77.54,clear sky,-5.8167,13.45,Hotel Vivi Palace
643,Aguililla,MX,81.7,broken clouds,18.7333,-102.7333,
646,Ca Mau,VN,77.36,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
647,Portland,US,82.62,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
649,Haysville,US,74.82,overcast clouds,37.5645,-97.3523,HAYSVILLE EXPRESS INN
651,Manono,CD,72.75,clear sky,-7.3,27.4167,Hotel hewa bora
657,Erzin,TR,84.92,clear sky,36.9559,36.2,Artemis Otel
658,Qinhuangdao,CN,73.36,moderate rain,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
659,Oxbow,CA,84.63,clear sky,49.2333,-102.1676,Bow Manor Motor Hotel
664,Orsha,BY,72.0,scattered clouds,54.5153,30.4053,Rudakovo Hotel
665,Ilhabela,BR,70.11,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
666,Tula,RU,71.76,clear sky,54.2044,37.6111,София
669,Medeiros Neto,BR,79.99,broken clouds,-17.3739,-40.2206,Pousada Visgueira
670,Auki,SB,77.0,overcast clouds,-8.7676,160.7034,Auki Motel
672,Zhengjiatun,CN,72.52,overcast clouds,43.5064,123.5064,Siping Hexiang Hotel
